id_grid,cellCentroidLatitude__,cellCentroidLongitude__,x2_3_7_8TCDD,Oxamyl100G_kg_kg_hectare_,Glyphosate360G_L_L_hectare_,ChromeEtCompos_s_exprim_sEnTantQueCr_,Compos_sOrganiquesVolatilsNonM_thaniques_COVNM_,HydrocarburesAromatiquesPolycycliques_HAP_,MercureEtCompos_s_exprim_sEnTantQueHg_,Particules_PM10_,ZincEtCompos_s_exprim_sEnTantQueZn_,impact_x2_3_7_8TCDD,impact_Oxamyl100G_kg_kg_hectare_,impact_Glyphosate360G_L_L_hectare_,impact_ChromeEtCompos_s_exprim_sEnTantQueCr_,impact_Compos_sOrganiquesVolatilsNonM_thaniques_COVNM_,impact_HydrocarburesAromatiquesPolycycliques_HAP_,impact_MercureEtCompos_s_exprim_sEnTantQueHg_,impact_Particules_PM10_,impact_ZincEtCompos_s_exprim_sEnTantQueZn_,impact
2355,-4.445,22.635,2.75481596834817e-13,8.06996093160993e-07,1.26146860838333e-07,1.45144534132e-32,1.49218419840618e-31,7.36355193193667e-31,1.04410520126716e-32,4.83681734487013e-31,8.71063656203781e-34,0,0,0,0,0,0,0,0,0,0
2356,-4.445,22.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2357,-4.295,31.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358,-4.295,31.485,3.11652734991805e-06,6.79878366999318,6.2445138964679,5.87780340025782e-23,3.06119624275055e-21,2.84851982475218e-21,4.0390213750474e-23,1.87107665199071e-21,1.78697530915497e-23,0,0,0,0,0,0,0,0,0,0
2359,-4.295,31.335,3.97726875357943e-06,8.55716072383462,8.09632498564308,1.18206696541814e-22,6.1674234097439e-21,5.72796527172949e-21,8.12189333105918e-23,3.76246708561316e-21,3.60023742704169e-23,0,0,0,0,0,0,0,0,0,0
2360,-4.295,31.185,5.10559767128151e-06,10.7069050217042,10.4487726713562,2.39216759018214e-22,1.25410069348447e-20,1.15885208237489e-20,1.64317913133626e-22,7.6120273259152e-21,7.32082081740527e-23,0,0,0,0,0,0,0,0,0,0
2361,-4.295,31.035,6.61236901795305e-06,13.4231570222126,13.5855545942916,8.4214334851895e-22,4.45919962295202e-20,4.07724280346862e-20,5.78127302866873e-22,2.67817473053079e-20,2.60306051834737e-22,0,0,0,0,0,0,0,0,0,0
2362,-4.295,30.885,8.63145687779193e-06,16.9298344435085,18.0231422721309,5.48322278512691e-21,2.91876709543945e-19,2.65387143385455e-19,3.76302223871613e-21,1.74322005208525e-19,1.70383203799562e-21,0,0,0,0,0,0,0,0,0,0
2363,-4.295,30.735,1.13686713349437e-05,21.4819143762026,24.5952494815606,3.95585374469591e-20,2.10849236304423e-18,1.91447741650927e-18,2.71460817654629e-20,1.25754223778507e-18,1.23083366456725e-20,0,0,0,0,0,0,0,0,0,0
2364,-4.295,30.585,1.47432481207529e-05,26.3856513016537,33.8966966938415,2.96596866944438e-19,1.58130830518455e-17,1.43538865716184e-17,2.03529054542622e-19,9.42848345168697e-18,9.23089652279866e-20,0,0,0,0,0,0,0,0,0,0
2365,-4.295,30.435,1.8390215188283e-05,29.7538406184685,48.7188969374361,2.19501223523846e-18,1.17039895467579e-16,1.06227530368225e-16,1.50623935297023e-18,6.97765380263459e-17,6.83221073190902e-19,0,0,0,0,0,0,0,0,0,0
2366,-4.295,30.285,2.48426840030031e-05,33.1304457001809,92.0097518719941,1.61520449079197e-17,8.62596298702138e-16,7.81603944752892e-16,1.10826507586373e-17,5.13403796393871e-16,5.03541088924594e-18,0,0,0,0,0,0,0,0,0,0
2367,-4.295,30.135,4.34498916923107e-05,48.3537895924667,230.377013652436,1.1251669863603e-16,6.04807623223091e-15,5.44260210575103e-15,7.71726636760161e-17,3.57502364479144e-15,3.53056796801079e-17,0,0,0,0,0,0,0,0,0,0
2368,-4.295,29.985,7.25214955409885e-05,78.9690835978696,457.735265069802,5.78437256957409e-16,3.15349702680308e-14,2.79558530867175e-14,3.96396357131761e-16,1.83630612441288e-14,1.84085568429895e-16,0,0,0,0,0,0,0,0,0,0
2369,-4.295,29.835,0.000105277262596875,117.451872914351,740.944048308787,2.98014639708455e-15,1.65608716505588e-13,1.43859917432705e-13,2.03984285618865e-15,9.44957203129394e-14,9.66741820830953e-16,0,0,0,0,0,0,0,0,0,0
2370,-4.295,29.685,0.000139069124394835,167.776040306001,1037.85803257127,1.79494509634278e-14,1.01406661823615e-12,8.65567917372205e-13,1.22732069106303e-14,5.68556310134951e-13,5.9196195944073e-15,0,0,0,0,0,0,0,0,0,0
2371,-4.295,29.535,0.000160862012074493,227.94338200705,1208.53210025208,1.16158075880332e-13,6.63783618910438e-12,5.59734076431182e-12,7.9366760217112e-14,3.67666516705771e-12,3.87484057714776e-14,0,0,0,0,0,0,0,0,0,0
2372,-4.295,29.385,0.000158688476144278,280.547615970661,1265.29661519886,6.82704129799007e-13,3.92885185110513e-11,3.28826870130315e-11,4.66255753463757e-13,2.15992977792085e-11,2.29346943309316e-13,0,0,0,0,0,0,0,0,0,0
2373,-4.295,29.235,0.00142502610062393,288.827178705194,1543.29406541343,3.01575854093172e-12,1.7424351924729e-10,1.45217525728409e-10,2.05909288519545e-12,9.53874779066793e-11,1.01714749011322e-12,1.15263115676851e-06,1.9963734592103e-09,1.01857408317286e-09,4.97600159253735e-20,2.61365278870936e-18,1.74261030874091e-17,5.83629287379798e-17,6.29557354184083e-17,5.12642335017064e-20,0
2374,-4.295,29.085,0.00305540856459812,238.329770588506,1714.6704958508,1.07795704799934e-11,6.23849097067881e-10,5.19011630094263e-10,7.35925742778111e-12,3.4091760034196e-10,3.64172246437918e-12,2.23823113092335e-06,1.64733537430775e-09,1.13168252726153e-09,1.77862912919891e-19,9.35773645601821e-18,6.22813956113115e-17,2.08590792533028e-16,2.25005616225694e-16,1.83542812204711e-19,0
2375,-4.295,28.935,0.0028859259680942,138.352528365145,1747.77856145824,3.5253534501863e-11,2.03757488246952e-09,1.69752156486873e-09,2.40697846844201e-11,1.11503277550576e-09,1.18943543735602e-11,1.94299008175002e-06,9.56292676059885e-10,1.15353385056244e-09,5.81683319280739e-19,3.05636232370428e-17,2.03702587784247e-16,6.82233977095203e-16,7.35921631833802e-16,5.99475460427435e-19,0
2376,-4.295,28.785,0.00225813226400461,66.2881065159296,1695.87692402546,8.92765120536942e-11,5.12306208376755e-09,4.30083096796765e-09,6.09830693791939e-11,2.82504068899116e-09,2.99059027261551e-11,4.86345062612315e-06,1.45091407542067e-09,3.54438277121321e-09,4.66469775480552e-18,2.43345448978959e-16,1.63431576782771e-15,5.47359637519893e-15,5.90433503999152e-15,4.77298207509435e-18,0
2377,-4.295,28.635,0.00170630464010094,31.8078929103944,1435.39503764338,1.81845580852965e-10,1.02984284410366e-08,8.76769942527112e-09,1.24320445590516e-10,5.75914464198064e-09,6.01171321972113e-11,3.10248311603379e-05,6.37011052546688e-09,2.74383335446424e-08,8.69265828935097e-17,4.47466715763039e-15,3.04765232022424e-14,1.02070964627716e-13,1.10103327265386e-13,8.77662036373527e-17,0
2378,-4.295,28.485,0.00121636339841653,14.8093266653317,1046.22652028693,3.28012780485667e-10,1.82561950742172e-08,1.58325476924938e-08,2.244955362282e-10,1.03997557157714e-08,1.06570638639917e-10,2.50322175460335e-06,3.2414654205078e-10,2.18661342739969e-09,1.71386677803761e-17,8.67169266025317e-16,6.01636812314764e-15,2.01498213496983e-14,2.17354894459621e-14,1.70086739269308e-17,0
2379,-4.295,28.335,0.000746164455902962,6.52375931720056,621.396765910137,5.51491864722691e-10,3.00579044068818e-08,2.66540215244245e-08,3.77937207010627e-10,1.75079411147673e-08,1.75463181868256e-10,1.833227815198e-07,7.51537073341505e-11,6.83536442501151e-10,1.5166026279874e-17,7.51447610172045e-16,5.33080430488489e-15,1.7853753659182e-14,1.9258735226244e-14,1.47389072769335e-17,0
2380,-4.295,28.185,0.000539501285250621,3.20769331518648,430.60112723016,8.74201589184844e-10,4.65167670731842e-08,4.23121869193805e-08,5.99960112291818e-10,2.77931522019185e-08,2.71541884063405e-10,1.69125636292716e-07,5.17336777873275e-11,6.63125735934446e-10,3.36567611836165e-17,1.62808684756145e-15,1.18474123374265e-14,3.96789619865317e-14,4.28014543909545e-14,3.19333255658564e-17,0
2381,-4.295,28.035,0.00037423352491993,2.32171262348516,261.15139245456,1.25841832714994e-09,6.51665784646246e-08,6.10061086688913e-08,8.65028127173219e-10,4.00724279912994e-08,3.80410262606492e-10,1.57692004817146e-07,5.61668717873531e-11,6.03259716570034e-10,7.26736583929088e-17,3.42124536939279e-15,2.56225656409343e-14,8.5814250328092e-14,9.25673086599016e-14,6.71043703237851e-17,0
2382,-4.295,27.885,0.000264930839498114,2.36918626578972,151.229829536361,1.55667193699432e-09,7.80211943040431e-08,7.56056506744125e-08,1.07204042076444e-09,4.96622724919129e-08,4.55449155520259e-10,8.69773688545979e-08,4.91274464074156e-11,2.99435062481996e-10,7.70552608812189e-17,3.51095374368194e-15,2.72180342427885e-14,9.11577410584423e-14,9.83312995339876e-14,6.88639123146632e-17,0
2383,-4.295,27.735,0.000193812085146765,2.77371343267106,98.10346348277,1.65404421019568e-09,7.97623985133377e-08,8.0505395206142e-08,1.14151570657415e-09,5.28807151070476e-08,4.65613447079172e-10,4.34905600505223e-06,4.21587725585819e-09,1.42137269479815e-08,5.99879320990627e-15,2.62797162501819e-13,2.12196120684349e-12,7.10680236875481e-12,7.66606438835358e-12,5.15450848000738e-15,0
2384,-4.295,27.585,0.000147718405149826,3.23023021113411,72.0422268449627,1.63084060342515e-09,7.5485104755471e-08,7.95475684283833e-08,1.12793432723691e-09,5.225155770925e-08,4.40644724281943e-10,4.0558604779935e-08,5.95396032516238e-11,1.26794319247134e-10,7.17569865507068e-17,3.01940419021884e-15,2.54552218970827e-14,8.52537881898749e-14,9.196274156828e-14,5.92226509434931e-17,0
2385,-4.295,27.435,0.000113392830415345,3.65945018024413,55.614374086603,1.58638315531754e-09,7.08079870014614e-08,7.75213279406123e-08,1.09920351564144e-09,5.09206028620896e-08,4.13342027737715e-10,3.68503692829951e-08,8.00980455451835e-11,1.16234041841e-10,8.28885198653414e-17,3.36337938256942e-15,2.94581046174327e-14,9.86601107499128e-14,1.06424059981767e-13,6.59693876269394e-17,0
2386,-4.295,27.285,6.80274710761607e-05,4.20740887401438,45.0537337991165,1.51927414513264e-09,6.62747090305027e-08,7.43254560480098e-08,1.05388806874172e-09,4.88213647844602e-08,3.86878996967848e-10,0,0,0,0,0,0,0,0,0,0
2387,-4.295,27.135,3.42366909544546e-07,4.91842245354788,38.7577603633553,1.33913241758065e-09,5.7652408109412e-08,6.55541153706753e-08,9.29515992494509e-10,4.30598283523081e-08,3.3654626919619e-10,0,0,0,0,0,0,0,0,0,0
2388,-4.295,26.985,3.63015115310009e-07,5.73541317290684,34.6708225176709,1.01852926119189e-09,4.33514924582039e-08,4.98867959309882e-08,7.07363288635068e-10,3.27686043460196e-08,2.53064588551671e-10,0,0,0,0,0,0,0,0,0,0
2389,-4.295,26.835,4.09031433370362e-07,6.55550807969085,31.0716379414524,6.60682137314844e-10,2.77540376361651e-08,3.23796168573567e-08,4.59122536084463e-10,2.12688514841127e-08,1.62014353659543e-10,0,0,0,0,0,0,0,0,0,0
2390,-4.295,26.685,3.8516963013554e-05,7.3030670321807,27.3242137552492,3.5742071032147e-10,1.4733271870565e-08,1.75322432696548e-08,2.48596147035162e-10,1.15162165114039e-08,8.60055577396468e-11,0,0,0,0,0,0,0,0,0,0
